Prop_lost,median1,median2
0.76338,0.41025,0.5135
0.76453,0.407,0.5115
0.76567,0.4045,0.50925
0.76682,0.40125,0.506
0.76797,0.398,0.5035
0.76911,0.39525,0.50025
0.77026,0.3925,0.49825
0.77141,0.38975,0.49725
0.77255,0.38675,0.4955
0.7737,0.384,0.493
0.77485,0.38125,0.48925
0.77599,0.37875,0.4855
0.77714,0.37625,0.483
0.77829,0.37375,0.4795
0.77943,0.37125,0.47525
0.78058,0.36875,0.47175
0.78173,0.3665,0.47075
0.78287,0.36375,0.46975
0.78402,0.361,0.46825
0.78517,0.35825,0.4655
0.78631,0.355,0.46325
0.78784,0.352,0.46075
0.78899,0.349,0.457
0.79014,0.3455,0.455
0.79128,0.34275,0.45225
0.79243,0.33975,0.44925
0.79358,0.337,0.4465
0.79472,0.33425,0.4445
0.79587,0.331,0.4415
0.79702,0.328,0.43825
0.79817,0.3255,0.43575
0.79931,0.32175,0.433
0.80046,0.31825,0.42875
0.80161,0.3155,0.4265
0.80275,0.31275,0.422
0.8039,0.31025,0.4175
0.80505,0.30775,0.41225
0.80619,0.30625,0.4085
0.80734,0.30425,0.4045
0.80849,0.30225,0.4005
0.80963,0.299,0.39725
0.81078,0.296,0.3945
0.81193,0.29275,0.392
0.81307,0.28925,0.3915
0.81422,0.2865,0.38975
0.81537,0.283,0.388
0.81651,0.27975,0.3865
0.81766,0.27675,0.38375
0.81881,0.27375,0.3795
0.81995,0.27075,0.37625
0.8211,0.268,0.3725
0.82225,0.2645,0.37125
0.82339,0.2615,0.3695
0.82454,0.258,0.36575
0.82569,0.25475,0.36225
0.82683,0.25275,0.35925
0.82836,0.25,0.35425
0.82951,0.2475,0.35275
0.83066,0.24575,0.351
0.8318,0.24325,0.3485
0.83295,0.2415,0.3455
0.8341,0.23925,0.34175
0.83524,0.23675,0.3375
0.83639,0.23475,0.3325
0.83754,0.2325,0.32675
0.83869,0.22975,0.32175
0.83983,0.2275,0.318
0.84098,0.22475,0.3145
0.84213,0.2225,0.30975
0.84327,0.22025,0.3055
0.84442,0.217,0.301
0.84557,0.21425,0.29425
0.84671,0.21175,0.29
0.84786,0.2105,0.28525
0.84901,0.2085,0.28025
0.85015,0.20625,0.27625
0.8513,0.20475,0.2715
0.85245,0.20275,0.268
0.85359,0.20125,0.26475
0.85474,0.19975,0.26025
0.85589,0.1975,0.2565
0.85703,0.19525,0.25225
0.85818,0.1935,0.2495
0.85933,0.192,0.2435
0.86047,0.19025,0.23575
0.86162,0.189,0.2295
0.86277,0.188,0.2235
0.86391,0.18675,0.2175
0.86506,0.18625,0.211
0.86621,0.185,0.20525
0.86735,0.1845,0.1975
0.86888,0.1835,0.1945
0.86965,0.182,0.192
0.87118,0.17825,0.18475
0.87232,0.176,0.18075
0.87347,0.175,0.17875
0.87462,0.17375,0.1715
0.87576,0.1715,0.16725
0.87691,0.167,0.162
0.87806,0.163,0.1575
0.8792,0.159,0.15425
0.88035,0.15725,0.14725
0.8815,0.15625,0.14225
0.88265,0.15525,0.136
0.88379,0.15225,0.1325
0.88494,0.14975,0.126
0.88609,0.14575,0.11825
0.88723,0.14275,0.107
0.88838,0.142,0.09475
0.88953,0.142,0.09475
0.88991,0.142,0.09475
0.89029,0.142,0.09475
0.89067,0.142,0.09475
0.89106,0.142,0.09475
0.89106,0.142,0.09475
0.89144,0.142,0.09475
0.89182,0.142,0.09475
0.8922,0.142,0.09475
0.89258,0.142,0.09475
0.89297,0.142,0.09475
0.89335,0.142,0.09475
0.89373,0.142,0.09475
