Prop_lost,median1,median2
0.63953,0.641,0.772
0.64067,0.64,0.771
0.64182,0.639,0.7705
0.64297,0.638,0.7695
0.64411,0.637,0.769
0.64526,0.6365,0.7685
0.64641,0.636,0.7675
0.64755,0.6355,0.7655
0.6487,0.6345,0.7635
0.64985,0.6335,0.7615
0.65099,0.6325,0.7585
0.65214,0.6315,0.7555
0.65329,0.63,0.7535
0.65482,0.6285,0.752
0.65596,0.627,0.75
0.65711,0.6255,0.7475
0.65826,0.6245,0.7465
0.6594,0.6235,0.7445
0.66055,0.623,0.743
0.6617,0.622,0.7415
0.66284,0.621,0.741
0.66399,0.62,0.7385
0.66514,0.619,0.738
0.66628,0.6175,0.737
0.66743,0.616,0.7355
0.66858,0.614,0.735
0.66972,0.6125,0.7345
0.67087,0.611,0.734
0.67202,0.61,0.733
0.67317,0.609,0.732
0.67431,0.6075,0.7315
0.67546,0.6065,0.7315
0.67661,0.6055,0.7305
0.67775,0.604,0.7295
0.6789,0.603,0.729
0.68005,0.6015,0.7285
0.68119,0.601,0.7285
0.68234,0.5995,0.7285
0.68349,0.5975,0.7285
0.68463,0.595,0.7285
0.68578,0.593,0.7285
0.68693,0.5905,0.7285
0.68807,0.5885,0.7285
0.68922,0.587,0.727
0.69075,0.5845,0.7265
0.6919,0.582,0.7255
0.69304,0.5805,0.7245
0.69419,0.5785,0.724
0.69534,0.5765,0.7225
0.69648,0.5745,0.721
0.69763,0.5725,0.7195
0.69878,0.571,0.715
0.69992,0.5685,0.7105
0.70107,0.5665,0.708
0.70222,0.565,0.707
0.70336,0.5625,0.706
0.70451,0.56,0.7045
0.70566,0.557,0.7035
0.7068,0.5535,0.703
0.70795,0.5505,0.701
0.7091,0.547,0.7
0.71024,0.544,0.6985
0.71139,0.5405,0.6965
0.71254,0.537,0.694
0.71369,0.534,0.691
0.71483,0.531,0.689
0.71598,0.5285,0.6885
0.71713,0.5255,0.688
0.71827,0.5225,0.687
0.71942,0.52,0.6865
0.72057,0.518,0.684
0.72171,0.516,0.6825
0.72286,0.514,0.681
0.72401,0.5115,0.681
0.72515,0.509,0.6805
0.7263,0.506,0.68
0.72745,0.5035,0.6795
0.72859,0.501,0.6785
0.72974,0.4985,0.6775
0.73089,0.4965,0.675
0.73242,0.4935,0.671
0.73356,0.491,0.668
0.73471,0.488,0.665
0.73586,0.4855,0.663
0.737,0.482,0.6615
0.73815,0.4795,0.658
0.7393,0.4765,0.6545
0.74044,0.4735,0.65
0.74159,0.4715,0.6495
0.74274,0.4685,0.6475
0.74388,0.466,0.6445
0.74503,0.464,0.641
0.74618,0.461,0.6375
0.74732,0.4585,0.6345
0.74885,0.4565,0.631
0.75,0.453,0.6275
0.75115,0.45,0.6245
0.75229,0.448,0.621
0.75344,0.4455,0.6175
0.75459,0.442,0.615
0.75573,0.4395,0.6125
0.75688,0.4365,0.6065
0.75803,0.434,0.604
0.75917,0.432,0.603
0.76032,0.43,0.6005
0.76147,0.428,0.597
0.76261,0.4255,0.5925
0.76376,0.4235,0.5905
0.76491,0.422,0.588
0.76606,0.42,0.5845
0.7672,0.4185,0.58
0.76835,0.4165,0.5755
0.76988,0.4145,0.571
0.77102,0.4135,0.5685
0.77217,0.4115,0.566
0.77332,0.4095,0.564
0.77446,0.408,0.564
0.77561,0.406,0.564
0.77676,0.404,0.5605
0.77791,0.4015,0.5595
0.77905,0.399,0.5545
0.7802,0.3965,0.552
0.78135,0.3945,0.5495
0.78249,0.3915,0.5495
0.78364,0.388,0.5475
